C.C,C.N,C.O,C.P,C.S,N.C,N.N,N.O,N.P,N.S,O.C,O.N,O.O,O.P,O.S,F.C,F.N,F.O,F.P,F.S,P.C,P.N,P.O,P.P,P.S,S.C,S.N,S.O,S.P,S.S,Cl.C,Cl.N,Cl.O,Cl.P,Cl.S,Br.C,Br.N,Br.O,Br.P,Br.S,I.C,I.N,I.O,I.P,I.S,ligand
4858,917,691,0,0,1232,243,176,0,0,1243,248,181,0,0,0,0,0,0,0,0,0,0,0,0,88,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20968883_006
3294,443,695,0,0,853,128,176,0,0,878,131,172,0,0,0,0,0,0,0,0,0,0,0,0,59,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC05709221_002
3154,460,715,0,0,817,131,192,0,0,821,127,193,0,0,0,0,0,0,0,0,0,0,0,0,60,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC41802767_003
3597,230,471,0,0,956,65,115,0,0,950,61,108,0,0,0,0,0,0,0,0,0,0,0,0,64,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC63002446_009
3626,974,212,0,159,918,224,52,0,32,933,251,50,0,37,0,0,0,0,0,0,0,0,0,0,63,18,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC65696165_004
3202,693,671,0,0,878,171,193,0,0,882,177,196,0,0,0,0,0,0,0,0,0,0,0,0,58,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40573654_004
3830,388,315,0,0,988,101,71,0,0,1001,98,83,0,0,0,0,0,0,0,0,0,0,0,0,70,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67445809_007
3019,668,692,0,242,813,190,197,0,65,806,201,195,0,68,0,0,0,0,0,0,0,0,0,0,55,13,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49147422_006
2816,708,697,0,0,738,189,162,0,0,737,191,162,0,0,0,0,0,0,0,0,0,0,0,0,50,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC61213866_009
3882,873,699,0,0,959,232,196,0,0,979,237,196,0,0,0,0,0,0,0,0,0,0,0,0,70,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66726811_009
5731,606,577,0,0,1438,152,122,0,0,1422,161,140,0,0,0,0,0,0,0,0,0,0,0,0,101,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC36697799_002
4589,557,893,0,0,1118,141,241,0,0,1155,148,231,0,0,0,0,0,0,0,0,0,0,0,0,85,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC59849888_007
1828,1160,450,0,239,462,306,114,0,72,456,321,115,0,75,0,0,0,0,0,0,0,0,0,0,34,24,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC51147959_001
2705,625,577,0,0,689,158,142,0,0,663,149,138,0,0,0,0,0,0,0,0,0,0,0,0,47,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62893164_006
3148,684,238,0,0,845,179,64,0,0,852,183,60,0,0,0,0,0,0,0,0,0,0,0,0,57,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC45065086_008
3002,463,648,0,0,791,127,182,0,0,790,128,176,0,0,0,0,0,0,0,0,0,0,0,0,54,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49825343_008
3886,671,413,0,165,980,156,102,0,35,990,155,102,0,40,0,0,0,0,0,0,0,0,0,0,71,11,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC09959217_005
3040,633,472,0,242,759,164,144,0,71,758,168,140,0,71,0,0,0,0,0,0,0,0,0,0,56,10,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37209669_003
1614,702,451,0,232,447,200,116,0,56,430,201,114,0,53,0,0,0,0,0,0,0,0,0,0,30,14,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC54244349_005
2717,695,0,0,0,724,196,0,0,0,721,198,0,0,0,0,0,0,0,0,0,0,0,0,0,49,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37940799_003
3061,235,1055,0,235,835,63,277,0,58,833,63,276,0,55,0,0,0,0,0,0,0,0,0,0,55,5,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC52007659_007
3225,669,693,0,233,846,180,199,0,65,832,179,207,0,67,0,0,0,0,0,0,0,0,0,0,56,12,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40808200_006
2898,561,360,0,0,719,132,89,0,0,708,137,88,0,0,0,0,0,0,0,0,0,0,0,0,54,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC05481676_003
3660,649,690,0,214,985,174,183,0,51,976,169,181,0,53,0,0,0,0,0,0,0,0,0,0,66,11,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC14836392_001
2589,717,690,0,0,650,178,185,0,0,670,190,177,0,0,0,0,0,0,0,0,0,0,0,0,48,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC13985143_008
2913,937,212,0,225,727,267,53,0,65,743,269,50,0,65,0,0,0,0,0,0,0,0,0,0,53,17,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20201535_006
3593,677,579,0,0,904,170,154,0,0,894,177,156,0,0,0,0,0,0,0,0,0,0,0,0,65,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66120092_004
3621,479,929,0,217,943,122,243,0,53,984,115,247,0,51,0,0,0,0,0,0,0,0,0,0,65,6,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC22692512_000
3677,216,474,0,0,899,60,110,0,0,882,65,100,0,0,0,0,0,0,0,0,0,0,0,0,65,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC61830023_009
2120,934,0,0,242,569,255,0,0,60,570,269,0,0,54,0,0,0,0,0,0,0,0,0,0,37,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC59913757_007
4029,941,611,0,246,1022,243,155,0,67,1039,247,158,0,75,0,0,0,0,0,0,0,0,0,0,72,19,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC27249526_006
2956,866,331,0,0,721,210,76,0,0,708,212,86,0,0,0,0,0,0,0,0,0,0,0,0,52,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66187637_003
2158,934,216,0,448,551,264,54,0,131,547,269,51,0,127,0,0,0,0,0,0,0,0,0,0,40,17,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20363564_009
2782,681,231,0,0,752,171,65,0,0,747,167,62,0,0,0,0,0,0,0,0,0,0,0,0,52,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC50773477_005
2838,797,703,0,240,722,214,198,0,71,718,211,199,0,71,0,0,0,0,0,0,0,0,0,0,49,17,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC47752019_001
4501,569,998,0,175,1180,142,260,0,43,1178,143,258,0,50,0,0,0,0,0,0,0,0,0,0,84,10,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC03841103_004
3353,702,182,0,0,821,181,40,0,0,814,190,40,0,0,0,0,0,0,0,0,0,0,0,0,61,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62777010_005
3636,910,413,0,240,930,232,106,0,68,931,238,104,0,75,0,0,0,0,0,0,0,0,0,0,63,18,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC14937983_007
4484,590,861,0,217,1193,148,223,0,65,1207,147,214,0,64,0,0,0,0,0,0,0,0,0,0,80,12,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC00900970_001
3193,652,467,0,0,832,182,126,0,0,874,175,120,0,0,0,0,0,0,0,0,0,0,0,0,57,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC58605727_000
3042,222,448,0,0,830,61,113,0,0,832,59,112,0,0,0,0,0,0,0,0,0,0,0,0,56,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC06442038_004
4170,389,1106,0,389,1105,112,291,0,105,1082,106,311,0,101,0,0,0,0,0,0,0,0,0,0,75,8,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC00904496_008
3016,446,461,0,232,823,138,133,0,69,831,136,141,0,70,0,0,0,0,0,0,0,0,0,0,61,9,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62122963_008
1611,1198,463,0,453,425,319,109,0,132,412,323,101,0,132,0,0,0,0,0,0,0,0,0,0,29,21,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC39279703_006
2919,837,579,0,0,735,216,148,0,0,759,213,145,0,0,0,0,0,0,0,0,0,0,0,0,54,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC39561137_000
4936,628,825,0,0,1289,164,205,0,0,1301,153,212,0,0,0,0,0,0,0,0,0,0,0,0,89,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC22716966_002
3928,946,699,0,0,1003,270,172,0,0,1002,280,169,0,0,0,0,0,0,0,0,0,0,0,0,69,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHEMBL35724_002
3098,216,881,0,0,784,59,229,0,0,784,55,228,0,0,0,0,0,0,0,0,0,0,0,0,60,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC53258318_002
3148,696,456,0,0,803,189,139,0,0,803,196,145,0,0,0,0,0,0,0,0,0,0,0,0,62,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC50816034_003
2908,706,684,0,0,761,182,186,0,0,765,183,179,0,0,0,0,0,0,0,0,0,0,0,0,57,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC35326996_000
4115,681,760,0,346,1048,153,184,0,82,1071,163,176,0,75,0,0,0,0,0,0,0,0,0,0,71,12,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC15898751_004
3088,635,404,0,0,774,159,100,0,0,783,149,99,0,0,0,0,0,0,0,0,0,0,0,0,58,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC48889592_008
3075,918,462,0,229,830,232,114,0,57,848,233,113,0,56,0,0,0,0,0,0,0,0,0,0,58,15,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC36335693_003
3412,872,831,0,427,904,220,226,0,114,911,223,224,0,116,0,0,0,0,0,0,0,0,0,0,57,15,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC15899218_009
2957,947,677,0,0,801,270,182,0,0,808,273,189,0,0,0,0,0,0,0,0,0,0,0,0,55,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37799587_009
2331,684,422,0,0,618,181,101,0,0,620,172,104,0,0,0,0,0,0,0,0,0,0,0,0,42,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37269224_007
3441,602,182,0,0,881,145,39,0,0,871,144,41,0,0,0,0,0,0,0,0,0,0,0,0,65,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49989981_004
4080,1227,218,0,0,1097,324,53,0,0,1114,333,53,0,0,0,0,0,0,0,0,0,0,0,0,75,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC65376594_001
4016,1214,148,0,0,1026,317,31,0,0,1069,325,38,0,0,0,0,0,0,0,0,0,0,0,0,75,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC45284573_007
3416,1115,421,0,0,849,289,112,0,0,831,292,115,0,0,0,0,0,0,0,0,0,0,0,0,55,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC43082544_003
4522,1010,865,0,0,1104,261,225,0,0,1114,265,228,0,0,0,0,0,0,0,0,0,0,0,0,78,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC17208498_009
5141,756,1108,0,0,1300,191,310,0,0,1323,191,313,0,0,0,0,0,0,0,0,0,0,0,0,92,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC19143518_006
2788,686,457,0,0,769,201,120,0,0,762,209,117,0,0,0,0,0,0,0,0,0,0,0,0,51,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC54435830_005
3019,714,692,0,0,806,201,177,0,0,802,211,168,0,0,0,0,0,0,0,0,0,0,0,0,52,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC45157686_000
3479,453,436,0,222,911,119,117,0,60,911,116,117,0,58,0,0,0,0,0,0,0,0,0,0,58,9,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37390280_006
4559,383,1022,0,111,1167,100,265,0,27,1149,100,261,0,26,0,0,0,0,0,0,0,0,0,0,77,7,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC43553778_004
2226,1134,462,0,0,565,303,132,0,0,556,315,138,0,0,0,0,0,0,0,0,0,0,0,0,40,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC50164040_004
4671,709,1006,0,236,1233,174,245,0,55,1285,161,260,0,48,0,0,0,0,0,0,0,0,0,0,84,12,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC10455602_000
3002,687,477,0,239,782,172,144,0,72,798,178,144,0,70,0,0,0,0,0,0,0,0,0,0,57,11,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC38050929_003
1637,710,665,0,214,419,176,168,0,52,402,180,171,0,51,0,0,0,0,0,0,0,0,0,0,30,14,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC54492972_006
3209,1108,185,0,0,825,319,46,0,0,833,314,45,0,0,0,0,0,0,0,0,0,0,0,0,58,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC58413543_001
3069,668,206,0,0,771,183,49,0,0,788,176,48,0,0,0,0,0,0,0,0,0,0,0,0,57,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC20422554_009
2991,462,635,0,0,799,124,164,0,0,820,138,156,0,0,0,0,0,0,0,0,0,0,0,0,55,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC19279576_009
3510,625,614,0,0,909,154,165,0,0,935,158,168,0,0,0,0,0,0,0,0,0,0,0,0,62,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC23127498_007
3462,643,242,0,0,894,156,72,0,0,892,156,74,0,0,0,0,0,0,0,0,0,0,0,0,62,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC36736000_000
3468,577,1224,0,121,863,146,310,0,32,860,141,311,0,28,0,0,0,0,0,0,0,0,0,0,47,11,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC15760214_004
3585,698,462,0,0,940,181,121,0,0,956,176,124,0,0,0,0,0,0,0,0,0,0,0,0,68,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66094244_002
3186,927,0,0,236,845,240,0,0,59,843,238,0,0,65,0,0,0,0,0,0,0,0,0,0,57,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC63103931_001
3242,798,452,0,0,852,201,124,0,0,874,209,128,0,0,0,0,0,0,0,0,0,0,0,0,61,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC42592990_007
3184,613,472,0,217,812,146,111,0,49,820,162,101,0,53,0,0,0,0,0,0,0,0,0,0,60,11,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62493380_007
3199,711,684,0,0,863,184,198,0,0,872,188,200,0,0,0,0,0,0,0,0,0,0,0,0,57,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49575729_009
3522,481,423,0,0,946,122,112,0,0,944,132,107,0,0,0,0,0,0,0,0,0,0,0,0,62,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC48569048_004
2778,657,653,0,0,756,197,192,0,0,749,197,196,0,0,0,0,0,0,0,0,0,0,0,0,51,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC56370466_004
3781,697,686,0,0,1019,176,178,0,0,1021,170,182,0,0,0,0,0,0,0,0,0,0,0,0,67,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66783843_001
3690,768,579,0,0,964,192,138,0,0,984,190,147,0,0,0,0,0,0,0,0,0,0,0,0,70,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40515848_001
2708,875,445,0,0,732,239,121,0,0,728,245,119,0,0,0,0,0,0,0,0,0,0,0,0,53,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37000855_005
3924,924,176,0,0,1024,248,40,0,0,1011,230,42,0,0,0,0,0,0,0,0,0,0,0,0,69,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66906309_000
3492,449,439,0,225,918,132,126,0,69,923,134,134,0,68,0,0,0,0,0,0,0,0,0,0,65,9,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC35353962_000
2720,721,461,0,0,697,189,128,0,0,699,191,127,0,0,0,0,0,0,0,0,0,0,0,0,49,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC05090120_002
3187,934,840,0,626,828,246,216,0,168,801,257,222,0,175,0,0,0,0,0,0,0,0,0,0,59,18,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC16187158_000
4069,892,341,0,237,1108,234,85,0,59,1119,234,86,0,50,0,0,0,0,0,0,0,0,0,0,73,14,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67195394_007
2635,710,484,0,0,712,192,129,0,0,697,194,137,0,0,0,0,0,0,0,0,0,0,0,0,48,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49128749_005
2750,479,923,0,0,731,124,243,0,0,719,133,244,0,0,0,0,0,0,0,0,0,0,0,0,48,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC40479566_006
3283,836,606,0,0,818,205,152,0,0,818,212,157,0,0,0,0,0,0,0,0,0,0,0,0,57,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67276346_006
3217,876,991,0,180,810,238,259,0,48,826,240,264,0,43,0,0,0,0,0,0,0,0,0,0,52,17,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC03225442_006
3183,857,430,0,0,801,232,118,0,0,778,231,115,0,0,0,0,0,0,0,0,0,0,0,0,58,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC44786228_008
2693,916,460,0,219,740,258,132,0,61,725,255,129,0,66,0,0,0,0,0,0,0,0,0,0,47,17,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC64635081_002
4038,237,573,0,0,1059,57,148,0,0,1081,51,153,0,0,0,0,0,0,0,0,0,0,0,0,76,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC06856077_000
4043,846,639,0,0,1077,214,160,0,0,1113,220,147,0,0,0,0,0,0,0,0,0,0,0,0,72,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC22695923_002
3248,578,399,0,0,805,133,93,0,0,804,137,97,0,0,0,0,0,0,0,0,0,0,0,0,60,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49117773_005
3373,692,480,0,0,857,185,126,0,0,877,192,126,0,0,0,0,0,0,0,0,0,0,0,0,59,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC64427851_005
3592,915,629,0,222,946,240,180,0,59,969,248,178,0,57,0,0,0,0,0,0,0,0,0,0,66,15,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC59365743_001
3554,443,852,0,0,934,110,240,0,0,947,107,240,0,0,0,0,0,0,0,0,0,0,0,0,68,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67466072_008
2888,460,219,0,396,732,112,57,0,93,735,107,50,0,99,0,0,0,0,0,0,0,0,0,0,53,6,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC44849544_009
3802,1060,596,0,229,982,261,157,0,61,1001,246,165,0,56,0,0,0,0,0,0,0,0,0,0,74,17,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC39252395_000
3234,1344,0,0,0,904,371,0,0,0,907,361,0,0,0,0,0,0,0,0,0,0,0,0,0,59,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC04477459_008
3297,456,462,0,232,889,129,114,0,60,880,129,105,0,53,0,0,0,0,0,0,0,0,0,0,58,8,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49120922_006
2980,247,696,0,0,784,59,192,0,0,764,57,186,0,0,0,0,0,0,0,0,0,0,0,0,55,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37692425_002
2933,663,443,0,0,752,168,124,0,0,742,174,122,0,0,0,0,0,0,0,0,0,0,0,0,57,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC66119649_003
3063,661,236,0,0,807,168,58,0,0,817,174,54,0,0,0,0,0,0,0,0,0,0,0,0,58,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC48687661_000
2315,686,696,0,0,624,199,196,0,0,605,197,194,0,0,0,0,0,0,0,0,0,0,0,0,44,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC37481640_007
2890,695,698,0,228,727,179,174,0,60,747,166,160,0,61,0,0,0,0,0,0,0,0,0,0,54,15,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC54163463_008
2945,630,690,0,0,756,171,188,0,0,782,162,192,0,0,0,0,0,0,0,0,0,0,0,0,52,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC67315078_008
3362,456,700,0,0,874,131,191,0,0,861,134,188,0,0,0,0,0,0,0,0,0,0,0,0,62,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC41807856_008
2397,694,482,0,0,630,200,132,0,0,639,195,129,0,0,0,0,0,0,0,0,0,0,0,0,43,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC63838810_007
4018,647,838,0,0,1076,166,204,0,0,1092,162,198,0,0,0,0,0,0,0,0,0,0,0,0,73,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC60343624_007
3363,1038,447,0,0,842,262,127,0,0,857,259,122,0,0,0,0,0,0,0,0,0,0,0,0,62,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC63868433_005
2984,711,478,0,242,792,186,141,0,69,780,177,145,0,70,0,0,0,0,0,0,0,0,0,0,58,12,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC03887918_002
3155,689,250,0,0,831,184,69,0,0,853,190,70,0,0,0,0,0,0,0,0,0,0,0,0,60,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC62526627_005
3192,454,688,0,0,860,125,199,0,0,858,126,205,0,0,0,0,0,0,0,0,0,0,0,0,58,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC08253753_001
3407,688,411,0,0,903,180,100,0,0,934,184,103,0,0,0,0,0,0,0,0,0,0,0,0,66,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC45376918_009
3496,663,396,0,0,948,169,96,0,0,955,156,93,0,0,0,0,0,0,0,0,0,0,0,0,65,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC49290517_003
3862,712,799,0,0,1013,190,221,0,0,1016,195,216,0,0,0,0,0,0,0,0,0,0,0,0,65,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC07873340_004
3673,223,651,0,0,923,58,147,0,0,883,51,152,0,0,0,0,0,0,0,0,0,0,0,0,65,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC41812976_004
2929,692,458,0,237,742,165,122,0,57,768,159,124,0,50,0,0,0,0,0,0,0,0,0,0,50,12,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZINC60400591_006
4355,708,222,0,0,1174,185,65,0,0,1176,184,69,0,0,0,0,0,0,0,0,0,0,0,0,77,12